$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
22, 0.0581967, 0.0560136, 0.0504583, 0.00559737, 0.0578298, 0.0179956, 0.980236, 0.0153926, 0.0732786, 22, 0.95287, 0.875356, 0.00504583, 0.493328, 0.314478, 0.0183649, 0.245472, 0.372455, 0.00732786, 22, 351.655, 0.56193, 0.00379543
23, 0.0578316, 0.0584326, 0.0492231, 0.00584999, 0.0561195, 0.0185964, 0.949562, 0.0159968, 0.0758241, 23, 0.912542, 0.946256, 0.00492231, 0.515441, 0.315011, 0.0190661, 0.241441, 0.387077, 0.00758241, 23, 371.927, 0, 0.00465048
24, 0.0566233, 0.0582606, 0.0512542, 0.00582375, 0.0587704, 0.0186733, 0.999902, 0.0159287, 0.0753812, 24, 0.903412, 0.903279, 0.00512542, 0.512294, 0.327937, 0.0192905, 0.258971, 0.385429, 0.00753812, 24, 397.899, 0.128244, 0
25, 0.0587059, 0.0564599, 0.0508884, 0.00564179, 0.0583237, 0.0181406, 0.988639, 0.0155157, 0.0738693, 25, 0.961905, 0.882725, 0.00508884, 0.497305, 0.317308, 0.0185132, 0.24759, 0.375434, 0.00738693, 25, 399.467, 0.567568, 0.00391847
26, 0.0582844, 0.0589043, 0.0495859, 0.00589743, 0.056529, 0.0187422, 0.956338, 0.0161256, 0.0764329, 26, 0.919966, 0.954591, 0.00495859, 0.519676, 0.31768, 0.0192186, 0.243287, 0.390193, 0.00764329, 26, 420.305, 0, 0.00474918
27, 0.057013, 0.0586883, 0.0516396, 0.00586648, 0.059216, 0.0188131, 1.00762, 0.0160456, 0.0759312, 27, 0.910037, 0.910145, 0.00516396, 0.516085, 0.330739, 0.019441, 0.261186, 0.388256, 0.00759312, 27, 447.615, 0.130418, 0
28, 0.0591202, 0.0568221, 0.051238, 0.00567783, 0.0587252, 0.0182584, 0.99547, 0.0156156, 0.0743488, 28, 0.969273, 0.888717, 0.0051238, 0.500533, 0.319614, 0.0186336, 0.249312, 0.377852, 0.00743488, 28, 447.217, 0.572179, 0.00402091
29, 0.0586549, 0.0592906, 0.0498822, 0.00593628, 0.0568635, 0.0188615, 0.961866, 0.016231, 0.0769313, 29, 0.926049, 0.961432, 0.00498822, 0.523145, 0.31987, 0.0193435, 0.244796, 0.392744, 0.00769313, 29, 468.63, 0, 0.00483078
30, 0.0573334, 0.0590406, 0.0519572, 0.00590167, 0.0595833, 0.0189283, 1.01399, 0.0161418, 0.0763841, 30, 0.915495, 0.915805, 0.00519572, 0.519207, 0.333057, 0.0195651, 0.263018, 0.390584, 0.00763841, 30, 497.287, 0.132232, 0
31, 0.0594638, 0.0571217, 0.0515277, 0.00570765, 0.0590579, 0.0183558, 1.00113, 0.0156983, 0.0747455, 31, 0.975394, 0.893682, 0.00515277, 0.503205, 0.321528, 0.0187333, 0.25074, 0.379852, 0.00747455, 31, 494.923, 0.57602, 0.00410746
32, 0.0589636, 0.0596128, 0.0501288, 0.00596869, 0.0571417, 0.0189609, 0.966461, 0.016319, 0.0773469, 32, 0.931123, 0.967149, 0.00501288, 0.526041, 0.3217, 0.0194476, 0.246054, 0.394872, 0.00773469, 32, 516.916, 0, 0.00489957
33, 0.0576015, 0.0593357, 0.0522236, 0.00593116, 0.0598915, 0.019025, 1.01934, 0.0162224, 0.0767636, 33, 0.92007, 0.920553, 0.00522236, 0.521825, 0.335008, 0.0196694, 0.264559, 0.392536, 0.00767636, 33, 546.928, 0.133771, 0
34, 0.0597536, 0.057374, 0.0517719, 0.00573274, 0.0593384, 0.0184378, 1.00591, 0.0157678, 0.0750796, 34, 0.980566, 0.897868, 0.00517719, 0.505455, 0.323143, 0.0188172, 0.251944, 0.381536, 0.00750796, 34, 542.593, 0.57927, 0.00418163
35, 0.0592248, 0.0598856, 0.0503373, 0.00599613, 0.0573769, 0.019045, 0.97034, 0.0163934, 0.0776988, 35, 0.93542, 0.971997, 0.00503373, 0.528493, 0.323252, 0.0195357, 0.247118, 0.396673, 0.00776988, 35, 565.174, 0, 0.00495823
36, 0.0578292, 0.0595866, 0.0524501, 0.00595622, 0.0601536, 0.0191072, 1.02389, 0.016291, 0.0770862, 36, 0.923959, 0.924591, 0.00524501, 0.52405, 0.336671, 0.0197582, 0.265874, 0.394194, 0.00770862, 36, 596.546, 0.135093, 0
37, 0.0600013, 0.0575892, 0.0519804, 0.00575415, 0.0595778, 0.0185078, 1.00998, 0.0158272, 0.0753646, 37, 0.984991, 0.901443, 0.00519804, 0.507374, 0.324524, 0.0188888, 0.252972, 0.382972, 0.00753646, 37, 590.238, 0.582055, 0.00424585
38, 0.0594487, 0.0601196, 0.0505158, 0.00601967, 0.0575782, 0.019117, 0.97366, 0.0164573, 0.0780006, 38, 0.939107, 0.976162, 0.00505158, 0.530598, 0.324585, 0.0196112, 0.248029, 0.398218, 0.00780006, 38, 613.41, 0, 0.00500886
39, 0.0580249, 0.0598025, 0.0526451, 0.00597779, 0.0603793, 0.019178, 1.02781, 0.01635, 0.0773638, 39, 0.927306, 0.928069, 0.00526451, 0.525965, 0.338106, 0.0198347, 0.267008, 0.395621, 0.00773638, 39, 646.144, 0.136239, 0
40, 0.0602153, 0.0577749, 0.0521605, 0.00577262, 0.0597847, 0.0185682, 1.0135, 0.0158784, 0.0756106, 40, 0.98882, 0.904532, 0.00521605, 0.509032, 0.325719, 0.0189506, 0.25386, 0.384212, 0.00756106, 40, 637.861, 0.58447, 0.00430199
