$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
23, 0.0591121, 0.0591121, 0.051664, 0.00591121, 0.0591121, 0.0189159, 1.00254, 0.0161967, 0.0768457, 23, 0.921995, 0.907217, 0.0051664, 0.518791, 0.317219, 0.0192942, 0.250635, 0.391913, 0.00768457, 23, 373.494, 0, 0
24, 0.0592835, 0.0592835, 0.0518138, 0.00592835, 0.0592835, 0.0189707, 1.00545, 0.0162437, 0.0770685, 24, 0.924669, 0.909848, 0.00518138, 0.520296, 0.318139, 0.0193501, 0.251362, 0.393049, 0.00770685, 24, 389.237, 0, 0
25, 0.0594435, 0.0594435, 0.0519536, 0.00594435, 0.0594435, 0.0190219, 1.00816, 0.0162875, 0.0772765, 25, 0.927165, 0.912304, 0.00519536, 0.5217, 0.318998, 0.0194023, 0.25204, 0.39411, 0.00772765, 25, 404.97, 0, 0
26, 0.0595933, 0.0595932, 0.0520844, 0.00595931, 0.0595931, 0.0190698, 1.0107, 0.0163285, 0.0774709, 26, 0.9295, 0.9146, 0.00520844, 0.523013, 0.3198, 0.0194512, 0.252675, 0.395102, 0.00774709, 26, 420.694, 0, 0
27, 0.0597337, 0.0597336, 0.0522071, 0.00597335, 0.0597335, 0.0191147, 1.01308, 0.016367, 0.0776535, 27, 0.93169, 0.916755, 0.00522071, 0.524245, 0.320554, 0.019497, 0.25327, 0.396033, 0.00776535, 27, 436.409, 0, 0
28, 0.0598656, 0.0598655, 0.0523224, 0.00598655, 0.0598655, 0.0191569, 1.01532, 0.0164031, 0.077825, 28, 0.933747, 0.91878, 0.00523224, 0.525403, 0.321262, 0.0195401, 0.253829, 0.396908, 0.0077825, 28, 452.117, 0, 0
29, 0.0599897, 0.0599897, 0.0524309, 0.00599896, 0.0599896, 0.0191967, 1.01742, 0.0164372, 0.0779864, 29, 0.935684, 0.920686, 0.00524309, 0.526493, 0.321928, 0.0195806, 0.254356, 0.397731, 0.00779864, 29, 467.819, 0, 0
30, 0.0601069, 0.0601068, 0.0525333, 0.00601068, 0.0601068, 0.0192341, 1.01941, 0.0164692, 0.0781387, 30, 0.937511, 0.922483, 0.00525333, 0.527521, 0.322557, 0.0196188, 0.254853, 0.398508, 0.00781387, 30, 483.514, 0, 0
31, 0.0602175, 0.0602174, 0.05263, 0.00602174, 0.0602174, 0.0192695, 1.02129, 0.0164996, 0.0782825, 31, 0.939236, 0.924181, 0.005263, 0.528492, 0.323151, 0.0196549, 0.255322, 0.399241, 0.00782825, 31, 499.203, 0, 0
32, 0.0603221, 0.0603221, 0.0527215, 0.00603221, 0.0603221, 0.019303, 1.02306, 0.0165282, 0.0784186, 32, 0.940869, 0.925788, 0.00527215, 0.529411, 0.323712, 0.0196891, 0.255765, 0.399935, 0.00784186, 32, 514.888, 0, 0
33, 0.0604213, 0.0604213, 0.0528082, 0.00604213, 0.0604213, 0.0193348, 1.02474, 0.0165554, 0.0785476, 33, 0.942416, 0.92731, 0.00528082, 0.530281, 0.324245, 0.0197215, 0.256186, 0.400593, 0.00785476, 33, 530.567, 0, 0
34, 0.0605154, 0.0605154, 0.0528904, 0.00605154, 0.0605154, 0.0193649, 1.02634, 0.0165812, 0.0786699, 34, 0.943883, 0.928754, 0.00528904, 0.531107, 0.32475, 0.0197522, 0.256585, 0.401217, 0.00786699, 34, 546.243, 0, 0
35, 0.0606049, 0.0606048, 0.0529686, 0.00606048, 0.0606048, 0.0193935, 1.02786, 0.0166057, 0.0787862, 35, 0.945278, 0.930127, 0.00529686, 0.531892, 0.32523, 0.0197814, 0.256964, 0.40181, 0.00787862, 35, 561.914, 0, 0
36, 0.0606899, 0.0606899, 0.053043, 0.00606899, 0.0606899, 0.0194208, 1.0293, 0.016629, 0.0788968, 36, 0.946605, 0.931432, 0.0053043, 0.532639, 0.325686, 0.0198092, 0.257325, 0.402374, 0.00788968, 36, 577.582, 0, 0
37, 0.060771, 0.060771, 0.0531138, 0.00607709, 0.0607709, 0.0194467, 1.03067, 0.0166512, 0.0790022, 37, 0.947869, 0.932676, 0.00531138, 0.53335, 0.326121, 0.0198356, 0.257669, 0.402911, 0.00790022, 37, 593.246, 0, 0
38, 0.0608483, 0.0608482, 0.0531813, 0.00608482, 0.0608482, 0.0194714, 1.03199, 0.0166724, 0.0791027, 38, 0.949075, 0.933862, 0.00531813, 0.534028, 0.326536, 0.0198609, 0.257996, 0.403424, 0.00791027, 38, 608.907, 0, 0
39, 0.0609221, 0.060922, 0.0532458, 0.0060922, 0.060922, 0.019495, 1.03324, 0.0166926, 0.0791986, 39, 0.950226, 0.934995, 0.00532458, 0.534676, 0.326932, 0.0198849, 0.258309, 0.403913, 0.00791986, 39, 624.565, 0, 0
40, 0.0609926, 0.0609926, 0.0533075, 0.00609925, 0.0609925, 0.0195176, 1.03443, 0.016712, 0.0792903, 40, 0.951326, 0.936077, 0.00533075, 0.535295, 0.32731, 0.019908, 0.258608, 0.40438, 0.00792903, 40, 640.22, 0, 0
