$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
22, 0.0371575, 0.0399594, 0.0324188, 0.00399627, 0.0369346, 0.012747, 0.632169, 0.01086, 0.0511841, 22, 20.6118, 1.06284, 0.00324188, 0.409697, 0.510349, 0.0178299, 0.288276, 0.26278, 0.00511841, 22, 37.3604, 523.049, 0
23, 0.0372618, 0.0397061, 0.0348184, 0.0039683, 0.0399181, 0.012632, 0.67765, 0.0107982, 0.0509606, 23, 21.7267, 0.976431, 0.00348184, 0.408079, 0.552272, 0.0178481, 0.309653, 0.261285, 0.00509606, 23, 34.173, 553.75, 0
24, 0.0398271, 0.0397832, 0.0346445, 0.00397629, 0.0396328, 0.0126967, 0.671331, 0.0108867, 0.051652, 24, 24.0238, 0.984774, 0.00346445, 0.410219, 0.554674, 0.0179647, 0.307674, 0.263426, 0.0051652, 24, 0, 577.57, 0.000329685
25, 0.0396606, 0.0395792, 0.0345947, 0.00395675, 0.0395802, 0.0126694, 0.671563, 0.0108435, 0.0514544, 25, 25.0462, 0.98188, 0.00345947, 0.408461, 0.553334, 0.0179213, 0.307486, 0.262382, 0.00514544, 25, 0, 605.892, 0.000181243
26, 0.0395874, 0.0364562, 0.0344217, 0.00364548, 0.0395885, 0.0117015, 0.665012, 0.0100752, 0.048145, 26, 28.0096, 0.90795, 0.00344217, 0.375677, 0.541996, 0.0163574, 0.299437, 0.243792, 0.0048145, 26, 0, 687.361, 0.00624712
27, 0.0395845, 0.0364557, 0.0320079, 0.00364562, 0.0365506, 0.0117927, 0.621459, 0.0100756, 0.0481466, 27, 29.0844, 0.984008, 0.00320079, 0.375563, 0.500469, 0.0163277, 0.278873, 0.243801, 0.00481466, 27, 0, 712.712, 0.0079781
28, 0.0368824, 0.0371595, 0.032504, 0.0037201, 0.0371976, 0.0118887, 0.630348, 0.0101879, 0.0483063, 28, 27.8122, 0.986711, 0.0032504, 0.38094, 0.505374, 0.0165061, 0.283726, 0.246518, 0.00483063, 28, 5.09186, 726.061, 0
29, 0.0371904, 0.0371568, 0.0348629, 0.00371507, 0.0401721, 0.0117949, 0.673089, 0.0101793, 0.0483012, 29, 29.0244, 0.914124, 0.00348629, 0.380959, 0.547258, 0.0165458, 0.304232, 0.246309, 0.00483012, 29, 0, 754.976, 0
30, 0.040084, 0.0398745, 0.0346574, 0.00398182, 0.0396399, 0.0127164, 0.671561, 0.0109026, 0.0517467, 30, 30.1418, 0.990477, 0.00346574, 0.411427, 0.557933, 0.0180515, 0.308739, 0.263811, 0.00517467, 30, 0, 726.565, 0.000946651
31, 0.0396773, 0.0395836, 0.0346143, 0.00395724, 0.0396033, 0.012675, 0.672095, 0.0108459, 0.0514654, 31, 31.066, 0.984793, 0.00346143, 0.408972, 0.555821, 0.0179791, 0.308486, 0.262439, 0.00514654, 31, 0, 757.323, 0.000149545
32, 0.0396061, 0.0364384, 0.0320001, 0.00364407, 0.0365405, 0.0117899, 0.621335, 0.0100724, 0.0481351, 32, 34.5025, 0.985731, 0.00320001, 0.375692, 0.501699, 0.0163527, 0.279269, 0.243722, 0.00481351, 32, 0, 850.218, 0.00810659
33, 0.0368779, 0.0371596, 0.0325039, 0.00372018, 0.0371976, 0.0118886, 0.630336, 0.010188, 0.0483062, 33, 32.7749, 0.988535, 0.00325039, 0.381186, 0.506647, 0.0165342, 0.284177, 0.24652, 0.00483062, 33, 6.10314, 860.561, 0
34, 0.0371901, 0.0371553, 0.034873, 0.00371491, 0.040185, 0.0117939, 0.673267, 0.0101789, 0.0482993, 34, 34.0296, 0.915491, 0.0034873, 0.381174, 0.548758, 0.0165724, 0.304794, 0.246299, 0.00482993, 34, 0, 889.537, 0
35, 0.0401113, 0.039898, 0.0346746, 0.0039841, 0.0396593, 0.012723, 0.671867, 0.0109087, 0.051776, 35, 35.1683, 0.992676, 0.00346746, 0.411936, 0.559671, 0.0180935, 0.309396, 0.263958, 0.0051776, 35, 0, 851.397, 0.000956175
36, 0.0396961, 0.0396007, 0.0346294, 0.00395891, 0.0396205, 0.0126806, 0.672395, 0.0108505, 0.0514876, 36, 36.078, 0.986764, 0.00346294, 0.409406, 0.557407, 0.0180172, 0.309097, 0.262551, 0.00514876, 36, 0, 883.202, 0.0001534
37, 0.0396225, 0.0364257, 0.0319945, 0.00364294, 0.0365333, 0.0117878, 0.621247, 0.0100701, 0.0481269, 37, 39.9212, 0.986997, 0.00319945, 0.375787, 0.5026, 0.0163711, 0.279558, 0.243666, 0.00481269, 37, 0, 987.74, 0.00820237
38, 0.0368747, 0.03716, 0.032504, 0.00372026, 0.037198, 0.0118886, 0.630333, 0.0101881, 0.0483065, 38, 37.7376, 0.989891, 0.0032504, 0.38137, 0.507591, 0.0165552, 0.284512, 0.246523, 0.00483065, 38, 7.11614, 995.066, 0
39, 0.0371902, 0.0371543, 0.0348807, 0.0037148, 0.040195, 0.0117932, 0.673404, 0.0101786, 0.0482981, 39, 39.0348, 0.916515, 0.00348807, 0.381336, 0.549881, 0.0165924, 0.305216, 0.246292, 0.00482981, 39, 0, 1024.1, 0
40, 0.0401324, 0.039916, 0.0346879, 0.00398585, 0.0396744, 0.0127281, 0.672103, 0.0109134, 0.0517986, 40, 40.195, 0.994344, 0.00346879, 0.412324, 0.560986, 0.0181254, 0.309894, 0.264072, 0.00517986, 40, 0, 976.229, 0.000963555
